Chip Run Info,D:\Edoardo\1361334033 10 nM vinc untreated 48h\ChipRun.bml,1361334033,96.96 (136x),GE 96x96 PCR+Melt v2,ROX,EvaGreen,8/5/2016 9:08:11 AM,00:50:59,BIOMARK088
Application Version,4.1.3
Application Build,20140305.1515
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S06-A51,untreated_high,Unknown,1,SLC7A7,Test,999,0,Fail,0.0233967033971152,999,999,0,
S06-A50,untreated_high,Unknown,1,BRD4,Test,11.3129423093415,1,Pass,0.0233967033971152,85.6793188552706,999,1,
S06-A49,untreated_high,Unknown,1,DVL2,Test,15.0255011260099,1,Pass,0.0233967033971152,87.3118474094508,999,1,
S06-A60,untreated_high,Unknown,1,OSCAR,Test,999,0,Fail,0.0233967033971152,999,999,0,
S06-A59,untreated_high,Unknown,1,MPO,Test,6.23142504383582,1,Pass,0.0233967033971152,88.9152221409306,999,1,
S06-A58,untreated_high,Unknown,1,EZH1,Test,14.4853914794138,1,Pass,0.0233967033971152,83.1480100100827,999,1,
S06-A57,untreated_high,Unknown,1,SLC7A7,Test,999,0,Fail,0.0233967033971152,999,999,0,
S06-A56,untreated_high,Unknown,1,BRD4,Test,11.2699273119194,1,Pass,0.0233967033971152,85.6902696107201,999,1,
S06-A55,untreated_high,Unknown,1,DVL2,Test,15.0820246389476,1,Pass,0.0233967033971152,87.3659204899667,999,1,
S06-A66,untreated_high,Unknown,1,MT2A,Test,13.100708482928,1,Pass,0.0233967033971152,90.2495105171774,999,1,
S06-A65,untreated_high,Unknown,1,NOTCH1,Test,19.5008989326852,1,Pass,0.0233967033971152,90.564597073997,999,1,
S06-A64,untreated_high,Unknown,1,PTK2,Test,999,0,Fail,0.0233967033971152,999,999,0,
S06-A63,untreated_high,Unknown,1,KRAS,Test,12.7327097778836,1,Pass,0.0233967033971152,76.0145411308554,999,1,
S06-A62,untreated_high,Unknown,1,KMT2A,Test,14.2437565482235,1,Pass,0.0233967033971152,82.1654950698453,999,1,
S06-A61,untreated_high,Unknown,1,DAAM1,Test,17.7468333502589,1,Pass,0.0233967033971152,85.0364898714551,999,1,
S06-A72,untreated_high,Unknown,1,MT2A,Test,13.2058788112023,1,Pass,0.0233967033971152,90.2514209221623,999,1,
S06-A71,untreated_high,Unknown,1,NOTCH1,Test,20.3472293850873,1,Pass,0.0233967033971152,90.3938131866836,999,1,
S06-A70,untreated_high,Unknown,1,PTK2,Test,999,0,Fail,0.0233967033971152,999,999,0,
S06-A69,untreated_high,Unknown,1,KRAS,Test,12.8801211558833,1,Pass,0.0233967033971152,76.0273265555001,999,1,
S06-A68,untreated_high,Unknown,1,KMT2A,Test,14.3554033831989,1,Pass,0.0233967033971152,82.1791481286518,999,1,
S06-A67,untreated_high,Unknown,1,DAAM1,Test,17.4387298479456,1,Pass,0.0233967033971152,85.0471518867341,999,1,
S06-A78,untreated_high,Unknown,1,CTNNB,Test,13.9111096671168,1,Pass,0.0233967033971152,83.9091524228791,999,1,
S06-A77,untreated_high,Unknown,1,PTGS2,Test,999,0,Fail,0.0233967033971152,999,999,0,
S06-A76,untreated_high,Unknown,1,PPIA,Test,8.24686915499422,1,Pass,0.0233967033971152,84.8778967103523,999,1,
S06-A75,untreated_high,Unknown,1,RELA,Test,11.8521660896251,1,Pass,0.0233967033971152,86.2517994578303,999,1,
S06-A74,untreated_high,Unknown,1,SMYD3,Test,14.0341871099294,1,Pass,0.0233967033971152,83.9222335278299,999,1,
S06-A73,untreated_high,Unknown,1,UGCG,Test,14.2123124359155,1,Pass,0.0233967033971152,82.9833083116208,999,1,
S06-A84,untreated_high,Unknown,1,CTNNB,Test,13.8102730026147,1,Pass,0.0233967033971152,83.9033512839323,999,1,
S06-A83,untreated_high,Unknown,1,PTGS2,Test,999,0,Fail,0.0233967033971152,999,999,0,
S06-A82,untreated_high,Unknown,1,PPIA,Test,8.25983770049019,1,Pass,0.0233967033971152,84.9410520822041,999,1,
S06-A81,untreated_high,Unknown,1,RELA,Test,11.9097144764149,1,Pass,0.0233967033971152,86.3023501138938,999,1,
S06-A80,untreated_high,Unknown,1,SMYD3,Test,14.1492638156313,1,Pass,0.0233967033971152,83.8023473456681,999,1,
S06-A79,untreated_high,Unknown,1,UGCG,Test,14.2806877063048,1,Pass,0.0233967033971152,83.0372497070572,999,1,
S06-A90,untreated_high,Unknown,1,LRP6,Test,19.9518075605062,1,Pass,0.0233967033971152,87.5256903952024,999,1,
S06-A89,untreated_high,Unknown,1,Tcf7l2,Test,999,0,Fail,0.0233967033971152,999,999,0,
S06-A88,untreated_high,Unknown,1,B2M,Test,8.89305800454163,1,Pass,0.0233967033971152,86.2833777246695,999,1,
S06-A87,untreated_high,Unknown,1,MAP3K14,Test,999,0,Fail,0.0233967033971152,999,999,0,
S06-A86,untreated_high,Unknown,1,SLCO3A1,Test,16.026941058104,1,Pass,0.0233967033971152,84.7377753729277,999,1,
