Chip Run Info,D:\Edoardo\1361334029 10 nM vinc treated 48h\ChipRun.bml,1361334029,96.96 (136x),GE 96x96 PCR+Melt v2,ROX,EvaGreen,8/4/2016 5:25:44 PM,00:51:52,BIOMARK088
Application Version,4.1.3
Application Build,20140305.1515
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Calibrated rConc,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S06-A51,treated_high,Unknown,1,SLC7A7,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A50,treated_high,Unknown,1,BRD4,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A49,treated_high,Unknown,1,DVL2,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A60,treated_high,Unknown,1,OSCAR,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A59,treated_high,Unknown,1,MPO,Test,12.4338750378069,-1,1,Pass,0.0214762905126088,88.745142942326,999,1,
S06-A58,treated_high,Unknown,1,EZH1,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A57,treated_high,Unknown,1,SLC7A7,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A56,treated_high,Unknown,1,BRD4,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A55,treated_high,Unknown,1,DVL2,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A66,treated_high,Unknown,1,MT2A,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A65,treated_high,Unknown,1,NOTCH1,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A64,treated_high,Unknown,1,PTK2,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A63,treated_high,Unknown,1,KRAS,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A62,treated_high,Unknown,1,KMT2A,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A61,treated_high,Unknown,1,DAAM1,Test,28.5704331108629,-1,0,Fail,0.0214762905126088,69.0019347287415,999,1,
S06-A72,treated_high,Unknown,1,MT2A,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A71,treated_high,Unknown,1,NOTCH1,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A70,treated_high,Unknown,1,PTK2,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A69,treated_high,Unknown,1,KRAS,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A68,treated_high,Unknown,1,KMT2A,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A67,treated_high,Unknown,1,DAAM1,Test,26.2256515356789,-1,0.327007861468538,Fail,0.0214762905126088,69.0596248216578,999,1,
S06-A78,treated_high,Unknown,1,CTNNB,Test,17.9756315696752,-1,1,Pass,0.0214762905126088,83.9096267606594,999,1,
S06-A77,treated_high,Unknown,1,PTGS2,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A76,treated_high,Unknown,1,PPIA,Test,13.6778424650371,-1,1,Pass,0.0214762905126088,84.6524298458467,999,1,
S06-A75,treated_high,Unknown,1,RELA,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A74,treated_high,Unknown,1,SMYD3,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A73,treated_high,Unknown,1,UGCG,Test,27.198136902749,-1,0.931764667241171,Pass,0.0214762905126088,82.0758375024636,999,1,
